DATE,AAPL,NFLX,BA,T,MGM,AMZN,IBM,GOOG,SP500
17/10/2014,24.42,51.01,123.24,25.72,21.71,15.18,173.89,25.49,1886.76
20/10/2014,24.94,51.32,124.31,25.87,21.70,15.31,161.52,25.97,1904.01
21/10/2014,25.62,52.28,127.12,26.13,22.45,15.77,155.91,26.26,1941.28
22/10/2014,25.75,53.52,121.45,26.04,22.12,15.65,154.54,26.56,1927.11
23/10/2014,26.21,54.72,122.03,25.41,22.36,15.66,154.91,27.13,1950.82
24/10/2014,26.31,55.00,122.24,25.56,22.58,14.35,154.81,26.92,1964.58
27/10/2014,26.28,54.20,122.12,25.75,22.67,14.50,154.61,26.97,1961.63
28/10/2014,26.69,55.17,123.61,25.91,22.91,14.78,156.26,27.37,1985.05
29/10/2014,26.84,54.01,123.08,25.96,22.89,14.71,156.13,27.39,1982.30
30/10/2014,26.75,54.14,123.82,26.05,22.98,14.95,156.98,27.44,1994.65
31/10/2014,27.00,56.11,124.91,26.30,23.25,15.27,157.03,27.88,2018.05
03/11/2014,27.35,55.49,126.03,26.30,23.02,15.29,156.99,27.69,2017.81
04/11/2014,27.15,54.68,125.84,26.26,22.33,15.14,155.36,27.63,2012.10
05/11/2014,27.22,54.34,124.22,26.36,21.72,14.83,154.56,27.22,2023.57
06/11/2014,27.18,54.76,124.58,26.21,21.87,14.83,154.22,27.03,2031.21
07/11/2014,27.25,54.88,124.45,26.35,21.95,14.99,154.80,26.98,2031.92
10/11/2014,27.21,55.32,124.64,26.51,22.14,15.26,156.16,27.30,2038.26
11/11/2014,27.43,54.65,125.36,26.49,22.56,15.60,155.98,27.44,2039.68
12/11/2014,27.81,54.84,125.87,26.72,22.54,15.58,154.66,27.29,2038.25
13/11/2014,28.21,54.20,128.53,26.88,22.65,15.82,155.49,27.20,2039.33
14/11/2014,28.55,55.15,128.86,27.10,22.72,16.39,156.80,27.15,2039.82
17/11/2014,28.50,54.45,128.42,27.06,22.42,16.15,156.80,26.75,2041.32
18/11/2014,28.87,54.43,130.66,26.96,22.39,16.25,154.63,26.68,2051.80
19/11/2014,28.67,51.87,131.61,26.70,22.19,16.33,154.19,26.78,2048.72
20/11/2014,29.08,52.59,131.70,26.63,22.19,16.53,153.44,26.67,2052.75
21/11/2014,29.12,51.47,132.78,26.63,22.72,16.63,153.70,26.80,2063.50
24/11/2014,29.66,50.92,134.61,26.19,22.85,16.78,154.88,26.89,2069.41
25/11/2014,29.40,49.86,134.81,26.28,22.81,16.75,154.51,26.98,2067.03
26/11/2014,29.75,50.17,134.78,26.52,22.82,16.68,154.69,26.95,2072.83
28/11/2014,29.73,49.51,134.36,26.70,22.81,16.93,154.90,27.02,2067.56
01/12/2014,28.77,48.83,132.39,26.46,22.27,16.30,154.30,26.62,2053.44
02/12/2014,28.66,50.33,132.28,25.88,22.17,16.32,155.38,26.62,2066.55
03/12/2014,28.98,50.73,131.97,25.66,22.13,15.83,157.14,26.49,2074.33
04/12/2014,28.87,50.09,131.32,25.59,21.97,15.85,156.69,26.79,2071.92
05/12/2014,28.75,50.13,132.21,25.62,21.91,15.63,155.95,26.19,2075.37
08/12/2014,28.10,48.50,130.28,25.57,21.65,15.33,154.60,26.28,2060.31
09/12/2014,28.53,49.11,129.66,24.82,21.51,15.63,155.68,26.60,2059.82
10/12/2014,27.99,47.76,124.64,24.52,20.72,15.29,153.31,26.23,2026.14
11/12/2014,27.91,47.80,123.37,24.69,20.54,15.37,153.85,26.35,2035.33
12/12/2014,27.43,47.78,120.77,24.27,20.18,15.37,148.41,25.86,2002.33
15/12/2014,27.06,46.72,122.08,24.34,19.82,15.30,146.20,25.62,1989.63
16/12/2014,26.69,45.21,124.25,24.26,18.85,14.75,144.62,24.70,1972.74
17/12/2014,27.35,47.66,125.06,24.66,18.01,14.94,145.12,25.18,2012.89
18/12/2014,28.16,47.77,125.67,25.29,19.40,14.89,150.61,25.49,2061.23
19/12/2014,27.95,48.59,126.23,25.32,20.33,15.00,151.40,25.75,2070.65
22/12/2014,28.24,48.10,128.22,25.55,20.28,15.33,154.20,26.17,2078.54
23/12/2014,28.14,48.06,130.03,25.69,20.94,15.31,154.97,26.46,2082.17
24/12/2014,28.00,48.87,131.24,25.63,20.97,15.15,154.56,26.37,2081.88
26/12/2014,28.50,48.58,131.63,25.79,21.11,15.45,155.06,26.63,2088.77
29/12/2014,28.48,48.85,132.29,25.75,21.48,15.60,153.31,26.45,2090.57
30/12/2014,28.13,49.03,131.83,25.72,21.45,15.52,152.87,26.45,2080.35
31/12/2014,27.60,48.80,129.98,25.35,21.38,15.52,153.25,26.25,2058.90
02/01/2015,27.33,49.85,129.95,25.56,21.02,15.43,154.79,26.17,2058.20
05/01/2015,26.56,47.31,129.05,25.32,20.44,15.11,152.36,25.62,2020.58
06/01/2015,26.57,46.50,127.53,25.36,19.66,14.76,149.07,25.03,2002.61
07/01/2015,26.94,46.74,129.51,25.04,20.43,14.92,148.10,24.99,2025.90
08/01/2015,27.97,47.78,131.80,25.28,20.72,15.02,151.32,25.07,2062.14
09/01/2015,28.00,47.04,131.54,25.21,20.51,14.85,151.98,24.74,2044.81
12/01/2015,27.31,45.55,130.87,25.28,20.22,14.57,149.43,24.56,2028.26
13/01/2015,27.56,46.26,131.17,25.28,20.35,14.74,149.78,24.74,2023.03
14/01/2015,27.45,46.32,130.38,25.16,20.23,14.66,148.81,24.98,2011.27
15/01/2015,26.71,46.25,130.14,25.10,20.24,14.35,147.64,25.02,1992.67
16/01/2015,26.50,48.19,130.78,25.51,20.01,14.54,150.09,25.34,2019.42
20/01/2015,27.18,49.83,131.22,25.62,19.13,14.47,149.91,25.28,2022.55
21/01/2015,27.39,58.47,132.41,25.66,19.24,14.86,145.27,25.83,2032.12
22/01/2015,28.10,61.21,135.64,25.50,19.89,15.52,148.42,26.65,2063.15
23/01/2015,28.25,62.49,134.62,25.19,20.00,15.62,148.88,26.92,2051.82
26/01/2015,28.28,63.79,134.07,25.04,20.89,15.48,149.35,26.69,2057.09
27/01/2015,27.29,64.88,132.48,24.76,20.86,15.34,146.78,25.86,2029.55
28/01/2015,28.83,63.21,139.64,24.67,20.32,15.20,144.76,25.43,2002.16
29/01/2015,29.73,63.40,147.78,24.88,20.18,15.59,148.51,25.46,2021.25
30/01/2015,29.29,63.11,145.37,24.85,19.48,17.73,146.44,26.65,1994.99
02/02/2015,29.66,63.01,146.26,25.33,19.74,18.22,147.73,26.35,2020.85
03/02/2015,29.66,65.27,147.34,25.92,20.46,18.18,151.36,26.39,2050.03
04/02/2015,29.89,64.10,147.22,25.97,19.87,18.24,149.92,26.07,2041.51
05/02/2015,29.99,64.13,148.60,26.07,20.33,18.69,150.83,26.31,2062.52
06/02/2015,29.73,63.48,148.00,26.32,19.96,18.71,149.69,26.48,2055.47
09/02/2015,29.93,63.30,147.58,26.15,19.59,18.53,148.77,26.32,2046.74
10/02/2015,30.51,64.85,148.04,26.30,20.74,18.65,151.45,26.77,2068.59
11/02/2015,31.22,64.98,147.92,25.96,20.75,18.76,151.11,26.73,2068.53
12/02/2015,31.62,65.25,148.09,26.12,21.24,18.86,151.41,27.07,2088.48
13/02/2015,31.77,66.59,149.73,26.16,21.46,19.09,153.21,27.38,2096.99
17/02/2015,31.96,67.14,149.92,26.20,21.87,18.77,153.74,27.07,2100.34
18/02/2015,32.18,67.87,151.17,26.03,22.30,18.67,154.92,26.91,2099.68
19/02/2015,32.11,67.80,153.75,25.73,22.44,18.95,156.54,27.07,2097.45
20/02/2015,32.37,68.31,158.31,25.72,22.63,19.18,156.31,26.87,2110.30
23/02/2015,33.25,67.41,154.74,25.55,22.55,19.01,155.61,26.52,2109.66
24/02/2015,33.04,67.84,154.38,25.70,21.88,18.93,157.44,26.73,2115.48
25/02/2015,32.20,68.33,153.01,25.82,21.97,19.27,155.51,27.12,2113.86
26/02/2015,32.60,69.00,151.73,26.04,21.95,19.24,153.66,27.70,2110.74
27/02/2015,32.12,67.84,150.85,26.09,21.73,19.01,154.68,27.84,2104.50
02/03/2015,32.27,68.61,153.80,26.15,21.87,19.28,153.28,28.49,2117.39
03/03/2015,32.34,67.82,155.57,25.97,22.02,19.23,153.81,28.60,2107.78
04/03/2015,32.14,67.11,154.35,25.66,22.08,19.14,152.27,28.59,2098.53
05/03/2015,31.60,66.81,154.47,25.66,21.93,19.39,153.95,28.69,2101.04
06/03/2015,31.65,64.87,153.12,25.27,21.62,19.00,151.39,28.31,2071.26
09/03/2015,31.79,63.66,154.75,25.17,20.91,18.93,153.56,28.37,2079.43
10/03/2015,31.13,62.15,152.42,24.74,20.03,18.48,150.73,27.68,2044.16
11/03/2015,30.56,62.88,151.17,24.62,19.59,18.32,149.77,27.48,2040.24
12/03/2015,31.11,64.05,152.04,25.01,19.72,18.71,150.90,27.70,2065.95
13/03/2015,30.90,62.63,151.57,24.73,19.41,18.53,147.36,27.29,2053.40
16/03/2015,31.24,60.28,153.67,24.95,19.66,18.67,150.04,27.65,2081.19
17/03/2015,31.76,59.79,154.51,24.83,21.74,18.60,149.92,27.47,2074.28
18/03/2015,32.12,60.45,155.73,25.35,22.52,18.76,152.64,27.90,2099.50
19/03/2015,31.87,60.74,154.11,25.06,22.85,18.66,152.64,27.82,2089.27
20/03/2015,31.48,61.19,154.50,25.08,22.62,18.92,155.58,27.94,2108.10
23/03/2015,31.80,60.71,152.81,25.12,22.41,18.76,157.25,27.87,2104.42
24/03/2015,31.67,62.61,151.65,24.96,22.08,18.70,155.69,28.43,2091.50
25/03/2015,30.85,60.25,148.23,24.62,21.69,18.55,152.06,27.86,2061.05
26/03/2015,31.06,59.75,148.17,24.77,21.39,18.37,153.39,27.68,2056.15
27/03/2015,30.81,59.25,148.85,24.72,21.30,18.53,153.21,27.34,2061.02
