DATE,AAPL,NFLX,BA,T,MGM,AMZN,IBM,GOOG,SP500
07/10/2024,221.69,701.92,155.91,21.78,41.10,180.80,227.12,164.39,"5,695.94"
04/10/2024,226.80,719.70,155.00,21.91,40.43,186.51,226.00,168.56,"5,751.07"
03/10/2024,225.67,706.80,150.52,22.05,39.67,181.96,222.72,167.21,"5,699.94"
02/10/2024,226.78,711.09,152.89,22.19,39.62,184.76,219.73,167.31,"5,709.54"
01/10/2024,226.21,706.13,154.22,22.13,38.62,185.13,219.35,168.42,"5,708.75"
30/09/2024,233.00,709.27,152.04,22.00,39.09,186.33,221.08,167.19,"5,762.48"
27/09/2024,227.79,707.35,156.32,21.90,39.62,187.97,220.84,165.29,"5,738.17"
26/09/2024,227.52,711.43,154.58,21.65,38.31,191.16,223.43,163.83,"5,745.37"
25/09/2024,226.37,721.56,152.22,21.56,37.18,192.53,221.23,162.99,"5,722.26"
24/09/2024,227.37,722.26,155.81,21.59,37.35,193.96,220.97,163.64,"5,732.93"
23/09/2024,226.47,705.37,156.30,21.49,36.85,193.88,220.50,163.07,"5,718.57"
20/09/2024,228.20,701.03,153.29,21.54,37.31,191.60,217.70,164.64,"5,702.55"
19/09/2024,228.87,704.32,154.59,21.36,37.75,189.87,213.89,163.24,"5,713.64"
18/09/2024,220.69,690.47,155.11,21.73,36.96,186.43,214.94,160.81,"5,618.26"
17/09/2024,216.79,706.91,156.39,21.78,37.21,186.88,214.13,160.28,"5,634.58"
16/09/2024,216.32,696.50,155.55,22.27,36.44,184.89,217.16,158.99,"5,633.09"
13/09/2024,222.50,697.06,156.77,21.64,36.51,186.49,214.79,158.37,"5,626.02"
12/09/2024,222.77,686.80,162.77,21.59,35.90,187.00,211.61,155.54,"5,595.76"
11/09/2024,222.66,681.47,161.33,21.45,35.38,184.52,209.89,152.15,"5,554.13"
10/09/2024,220.11,673.62,160.07,21.71,34.87,179.55,205.32,150.01,"5,495.52"
09/09/2024,220.91,675.42,162.91,21.50,34.97,175.40,203.53,149.54,"5,471.05"
06/09/2024,220.82,665.77,157.62,20.97,35.01,171.39,200.74,152.13,"5,408.42"
05/09/2024,222.38,683.62,162.15,20.65,35.81,177.89,202.59,158.60,"5,503.41"
04/09/2024,220.85,679.68,163.22,20.57,36.61,173.33,204.11,157.81,"5,520.07"
03/09/2024,222.77,675.32,161.02,20.43,36.29,176.25,201.28,158.61,"5,528.93"
30/08/2024,229.00,701.35,173.74,19.90,37.59,178.50,202.13,165.11,"5,648.40"
29/08/2024,229.79,692.48,172.26,19.76,37.41,172.12,198.90,163.40,"5,591.96"
28/08/2024,226.49,683.84,170.71,19.82,37.06,170.80,198.46,164.50,"5,592.18"
27/08/2024,228.03,695.72,173.05,19.65,38.01,173.12,198.73,166.38,"5,625.80"
26/08/2024,227.18,688.44,173.48,19.76,38.04,175.50,197.98,167.93,"5,616.84"
23/08/2024,226.84,686.73,174.96,19.73,38.93,177.04,196.10,167.43,"5,634.61"
22/08/2024,224.53,688.96,172.76,19.51,38.74,176.13,195.96,165.49,"5,570.64"
21/08/2024,226.40,697.12,173.43,19.54,39.50,180.11,197.21,167.63,"5,620.85"
20/08/2024,226.51,698.54,172.10,19.49,39.40,178.88,196.03,168.96,"5,597.12"
19/08/2024,225.89,688.53,179.64,19.49,40.07,178.22,194.73,168.40,"5,608.25"
16/08/2024,226.05,674.07,179.99,19.34,38.90,177.06,193.78,164.74,"5,554.25"
15/08/2024,224.72,663.22,176.41,19.09,39.20,177.59,193.95,163.17,"5,543.22"
14/08/2024,221.72,661.68,168.50,19.63,38.08,170.10,192.32,162.03,"5,455.21"
13/08/2024,221.27,648.02,168.76,19.52,38.16,170.23,190.99,165.93,"5,434.43"
12/08/2024,217.53,633.14,164.13,19.43,37.28,166.80,189.48,163.95,"5,344.39"
09/08/2024,216.24,633.94,167.91,19.49,37.13,166.94,191.45,165.39,"5,344.16"
08/08/2024,213.31,630.35,168.87,19.40,37.49,165.80,192.61,163.84,"5,319.31"
07/08/2024,209.82,611.48,163.24,19.25,36.44,162.77,186.80,160.75,"5,199.50"
06/08/2024,207.23,609.57,165.04,19.19,35.40,161.93,186.80,160.54,"5,240.03"
05/08/2024,209.27,598.55,167.03,18.91,34.07,161.02,183.31,160.64,"5,186.33"
02/08/2024,219.86,613.64,169.95,19.37,35.48,167.90,189.12,168.40,"5,346.56"
01/08/2024,218.36,624.85,178.31,19.47,37.29,184.07,189.66,172.45,"5,446.68"
31/07/2024,222.08,628.35,190.60,19.25,42.97,186.98,192.14,173.15,"5,522.30"
30/07/2024,218.80,622.58,186.86,18.98,42.78,181.71,191.04,171.86,"5,436.44"
29/07/2024,218.24,626.96,185.43,18.90,42.78,183.20,191.50,171.13,"5,463.54"
26/07/2024,217.96,631.37,186.89,19.01,41.84,182.50,191.75,168.68,"5,459.10"
25/07/2024,217.49,634.09,184.35,19.19,41.44,179.85,191.98,169.16,"5,399.22"
24/07/2024,218.54,635.99,180.07,19.16,42.44,180.83,184.02,174.37,"5,427.13"
23/07/2024,225.01,642.76,186.48,18.21,43.78,186.41,184.10,183.60,"5,555.74"
22/07/2024,223.96,647.50,178.90,18.55,43.77,182.55,184.15,183.35,"5,564.41"
19/07/2024,224.31,633.34,179.67,19.12,45.37,183.13,183.25,179.39,"5,505.00"
18/07/2024,224.18,643.04,180.23,19.15,45.30,183.75,185.22,179.22,"5,544.59"
17/07/2024,228.88,647.46,184.84,19.16,46.19,187.93,187.45,182.62,"5,588.27"
16/07/2024,234.82,656.32,186.05,18.85,46.78,193.02,185.81,185.50,"5,667.20"
15/07/2024,234.40,656.45,179.11,18.58,46.15,192.72,182.88,188.19,"5,631.22"
12/07/2024,230.54,647.60,182.31,18.81,46.11,194.49,182.83,186.78,"5,615.35"
11/07/2024,227.57,652.75,183.91,18.86,45.84,195.05,178.31,187.30,"5,584.54"
10/07/2024,232.98,677.65,183.73,18.74,43.91,199.79,177.84,192.66,"5,633.91"
09/07/2024,228.68,685.74,183.24,18.80,43.74,199.34,176.48,190.44,"5,576.98"
08/07/2024,227.82,685.74,185.84,18.81,43.69,199.29,177.64,190.48,"5,572.85"
05/07/2024,226.34,690.65,184.83,18.77,43.04,200.00,176.02,191.96,"5,567.19"
03/07/2024,221.55,682.51,184.31,18.68,43.28,197.59,175.73,187.39,"5,537.02"
